quest	title	status	notes
24218	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24219	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24220	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24221	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24223	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24224	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24225	Call to Arms: Warsong Gulch	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24226	Call to Arms: Arathi Basin	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24426	Call to Arms: Alterac Valley	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24427	Call to Arms: Alterac Valley	version_review	Legacy battleground daily variant; review against 5.4 reward system before restoring.
24661	REUSE ME	placeholder_or_obsolete	Development/obsolete title; not safe to expose as a playable quest.
26178	Planning for the Future	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
29140	Under the Skylord's Gaze	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
29258	Meteorite Hunt	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
29271	Bound for Warmer Weather	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
29291	Straight Chuting	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
29292	Hawk Fire	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
29294	Animate Embers	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
30153	Full Speed Ahead	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
30190	Sprite Plight	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30191	Steer Clear of the Beer Here	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30192	My Town, It's on Fire	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30193	Meating Expectations	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30194	Encroaching Storm	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30195	Blooming Blossoms	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30196	Lushroom Rush	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30197	Cart Ride	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30200	In Ashen Webs	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30204	That's Not a Rock!	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30205	Runelocked	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30206	Runes in the Ruins	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30225	The Ashweb Matriarch	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30226	Blood on the Rise	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30227	Wulon, the Granite Sentinel	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30228	Troubling the Troublemakers	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30231	Pomfruit Pickup	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30232	Ruffling Some Feathers	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30233	Cracklefang	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30234	Vicejaw	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30235	Quid Pro Quo	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30236	Aetha	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30237	The Pandaren Uprising Relived	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30238	Return to Rest	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30239	Lao-Fe the Slavebinder	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30244	Along the Serpent's Spine	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30245	Lost Scouts	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30246	Upon the Ramparts	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30247	Roll Club: Vale of Eternal Blossoms	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30248	The Butcher	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30249	Under the Setting Sun	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30250	Survival Ring: Thunder	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30251	Vyraxxis, the Krik'thik Swarm-Lord	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30263	Clearing in the Forest	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30264	Enemy at the Gates	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30265	Sparkle in the Eye	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30281	The Silent Approach	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30282	Burning Away the Filth	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30283	A Smashing Impression	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30284	A Thousand Pointy Teeth	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30285	Wu Kao Scouting Reports	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30286	Backed Into a Corner	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30287	Mogu Make Poor House Guests	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30288	My Town, It's On Fire Again	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30289	Freeing Mind and Body	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30290	Stonebound Killers	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30291	Stunning Display	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30292	Rude Awakenings	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30293	In Enemy Hands	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30294	Small Comforts	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30296	Gaohun the Soul-Severer	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30297	Baolai the Immolator	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30298	Painting the Ruins Red	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30299	No Stone Unturned	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30300	The Key to Success	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30301	Offering a Warm Welcome	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30302	The Imperion Threat	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30304	Hard as a Rock	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30305	He Knows What He's Doing	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30307	The Eternal Vigil	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30308	Stone Hard Quilen	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30309	Set in Stone	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30310	Thundering Skies	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30311	High Standards	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30312	Given a Second Chance	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30313	The Moving Mists	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30314	The Displaced Paleblade	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30316	Longshot	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30320	Free Spirits	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30338	A Weighty Task	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30339	Getting your Hands Dirty	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30340	Stick in the Mud	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30341	Under Watchful Eyes	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30342	Fiery Tongue, Fragile Feet	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30385	Setting Sun Garrison	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30442	Blanche's Boomer Brew	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
30444	No Reprieve	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30481	Carved in Stone	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30482	The Soul-Gatherer	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
30677	Shuttle Service	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
30965	Herding Cats	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31131	Whitepetal Lake	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31136	Behind Our Lines	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31218	FLAG - Unlocked Tenwu	internal_tracking	Internal tracking title, not an ordinary daily questgiver task; do not add questgiver relations.
31219	FLAG - Unlocked Nurong	internal_tracking	Internal tracking title, not an ordinary daily questgiver task; do not add questgiver relations.
31240	Guo-Lai Infestation	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31242	Mistfall Village	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31243	Attack on Mistfall Village	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31244	Guo-Lai Encampment	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31245	Mistfall Village	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31246	Attack on Mistfall Village	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31247	Setting Sun Garrison	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31248	The Ruins of Guo-Lai	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31249	Mistfall Village	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31250	Setting Sun Garrison	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31273	Relics of the Swarm	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31289	Research Project: The Pandaren Empire	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31293	Mogu Make Poor House Guests	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31294	The Ruins of Guo-Lai	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31295	Mogu within the Ruins of Guo-Lai	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31296	The Ruins of Guo-Lai	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31297	Setting Sun Garrison	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31376	Attack At The Temple of the Jade Serpent	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31377	Attack At The Temple of the Jade Serpent	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31378	Challenge At The Temple of the Red Crane	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31379	Challenge At The Temple of the Red Crane	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31380	Trial At The Temple of the White Tiger	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31381	Trial At The Temple of the White Tiger	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31382	Defense At Niuzao Temple	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31383	Defense At Niuzao Temple	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31466	FLAG - Took Loot	internal_tracking	Internal tracking title, not an ordinary daily questgiver task; do not add questgiver relations.
31491	The Ten Foot Pole	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31492	The Torch of Strength	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31545	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31557	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31558	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31559	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31560	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31561	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31562	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31563	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31564	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31565	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31566	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31567	The Finer Things	needs_individual_review	Missing static quest relation is not enough evidence to add one; availability/objective source still needs verification.
31665	FLAG - Vegetron 4000 Converted	internal_tracking	Internal tracking title, not an ordinary daily questgiver task; do not add questgiver relations.
31754	Cannonfire	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31755	Acts of Cruelty	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31756	High Chance of Rain	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31757	Unleashed Spirits	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31758	Laosy Scouting	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31759	[RESCUE GOLDEN LOTUS SQUAD] [GET RID OF THIS?]	placeholder_or_obsolete	Development/obsolete title; not safe to expose as a playable quest.
31760	Striking First	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31761	Breaking Their Spirits (Not Yet Implemented)	placeholder_or_obsolete	Development/obsolete title; not safe to expose as a playable quest.
31762	Crumbling Behemoth	version_review	Golden Lotus content changed in 5.4; validate individual availability before restoring. Blizzard 5.4 Vale announcement confirms removal of much of the old daily system.
31763	[KILL GIANT SERPENT] [GET RID OF THIS?]	placeholder_or_obsolete	Development/obsolete title; not safe to expose as a playable quest.
31781	Lindsay	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31819	Dagra the Fierce	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31850	Eric Davidson	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31851	Bill Buckler	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31852	Steven Lisbane	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31854	Analynn	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31862	Zonya the Sadist	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31871	Traitor Gluk	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31872	Merda Stronghoof	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31888	Pet Battle Trainers: Kalimdor	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31890	Pet Battle Trainers: Kalimdor	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31904	Cassandra Kaboom	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31905	Grazzle the Great	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31906	Kela Grimtotem	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31907	Zoltan	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31908	Elena Flutterfly	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31910	David Kosse	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
31911	Deiza Plaguehorn	pet_battle_work_required	Trainer/legendary pet battle and objective-credit support requires implementation; adding giver relations alone is insufficient.
